group,logical_column_ja,same_column,rakuten_ichiba,yahoo_itemsearch_v3,keepa_product,grain,why,a_keepa_usage
JOIN,JAN/EAN,YES_JOIN,なし（keywordにJANを入れるだけ。ヒット行にJANフィールドは無い）,hits[].janCode,ean / eanList,Keepa=ASIN1行 / 楽天Yahoo=検索ヒット複数,楽天はレスポンスにJANが無い。YahooとKeepaは同一キーにできる。楽天は検索クエリのJANで紐づける,A前検索のキー。Keepa EANとYahoo janCodeが一致すれば同一SKU候補
JOIN,ASIN,NO,なし,なし,asin,Keepaのみ,Amazon専用ID。楽天Yahooと列共用不可,Keepa行の主キー。楽天YahooはJAN経由でブロックに付ける
JOIN,親ASIN/バリエーション,NO,なし,なし（検索ヒットは出品単位。parentItemは稀）,parentAsin / variations / variationCSV,Keepaのみ,セット数誤りの主因（親に複数サイズ）。モール横断では使えない,ブロック内の複数ASINを親子で束ねる材料。楽天Yahooの袋数投票の対象粒度はJAN
ID,モール商品コード,NO,itemCode（店舗_商品）,hits[].code / seller.sellerId,なし,モール別,店内SKU。列名は共用せず「楽天itemCode」「Yahoo code」と分ける,キャッシュの安定ID（再検索せずURL/画像を引く）
TEXT,商品名,PARTIAL_TEXT,itemName,hits[].name,title,全ソース1件1名,意味は同じ「出品タイトル」だが文言がモールで違う。1セルにマージせず source付きで並列,セット数正規表現の主入力。Keepaタイトルは袋数が弱いことが多い
TEXT,キャッチ/説明短文,PARTIAL_TEXT,catchcopy / itemCaption（長い）,description / head,features[] / description,説明の長さが違う,同じ「説明」列に混ぜるとノイズ。セット数パースの補助に分ける,「50g×4」がタイトルに無く説明にある場合の補助。Keepa featuresは空が多い
TEXT,メーカー,PARTIAL,shopNameではない（店名）,なし（店はseller）,manufacturer,Keepaが製品メーカー,楽天のshopNameは販売店。Keepa manufacturerとYahoo brandは近いが同一ではない,Keepa評点のメーカー一致。楽天店名で石原を落とすな
TEXT,ブランド,PARTIAL,なし（ジャンル/タグ程度）,brand.id / brand.name,brand,ID体系が違う,名前の文字列一致は可。IDはYahooとKeepaで別世界,A評価・カテゴリ補助。Yahoo brand.idは出品SCと不一致あり
PRICE,表示価格,PARTIAL_PRICE,itemPrice,hits[].price,stats.current[0] Amazon本体 / [18] BuyBox / [1] 新品,定義が違う,いずれも「今の売価」だが税・送料込みかが違う。1列に合計できない。比較用に source+price を残す,単価=price/推定袋数 の分子。Keepaは送料込BuyBoxを優先
PRICE,プレミアム/会員価格,NO,なし,premiumPrice / priceLabel,なし,Yahooのみ,楽天ポイント倍と混同しない,実質比較の補助。通常priceと乖離が大きい店を除外
PRICE,参考価格/定価,PARTIAL,なし,priceLabel.defaultPrice 等,csv[4] / stats 参考価格,KeepaはAmazon定価履歴,「定価」概念は近いがモール横断の最安には使わない,外れ値検出（表示が定価の10倍など）
PRICE,ポイント還元,PARTIAL_POINT,pointRate（％）および期間,point.amount / point.times,なし（AmazonポイントはKeepaで薄い）,単位が％対ポイント数,実質=price-還元は両方作れるが式が違う。同一列に生値を入れない。派生列 effective_price ならYES,楽天は既存どおり。Yahooは未使用→Aの単価推定に入れる価値大
PRICE,送料フラグ,PARTIAL_SHIP,postageFlag（0込1別）。送料円はほぼ無い,shipping.code（2=無料が多い）/ shipping.name,FBMはcsv送料込。FBAは送料別概念が違う,フラグの意味がモールで違う,円の送料は3者ともほぼ無い。同一「送料円」列は作れない。派生 is_postage_included はPARTIAL,code/flagで無料なら単価比較に入れる。別送料は最安から除外or要確認
PRICE,実質価格（派生）,YES_DERIVED,itemPrice - pointRate換算 - 仮定送料,price - point - (code==2?0:不明),BuyBox送料込 or Amazon+送料履歴,計算式はソース別、結果の円は比較可,「お客が払う概算」として1論理列にできる。ただし送料別は欠損,Keepa袋数の価格推定の分母揃え。3モール単価の中央値をアンカーにする
URL,商品URL,PARTIAL_URL,itemUrl,url,https://www.amazon.co.jp/dp/{asin},URL形式が違う,列は「URL」で並べられるが中身はモール別。クリック用に並列,人間の◎確認。機械は開かない
IMG,画像URL,PARTIAL_IMG,mediumImageUrls[] / smallImageUrls[],image.medium / small,images / imagesCSV→Amazon CDN,見た目比較は可、ハッシュは不可,同一ファイルではない。Vision/一致スコアの入力として並列,Keepa画像と楽天Yahoo画像の袋数Vision。Aの手間削減の本命の一つ
SHOP,販売店,NO,shopName / shopCode / shopUrl,seller.name / sellerId / seller.url,offers[].sellerName（BuyBox時）,店のID体系が違う,「店名」文字列は並べられるが同一店判定は不可,ふるさと納税ショップ・爆買店の除外。KeepaセラーはFBA判定
AVAIL,在庫有無,PARTIAL,availability（取扱フラグ寄り）,inStock,availabilityAmazon / csv在庫切れ％,定義が違う,「今買えるか」の近似。数値在庫はKeepaも薄い,欠品ヒットを袋数投票から外す
COND,新品/中古,PARTIAL,ほぼ新品市場（中古は別）,condition,offers / csv中古,Keepaは中古グラフあり,Yahoo中古をセット推定から除外。楽天は通常新品,中古ASINを◎にしない補助
