group,logical_column_ja,same_column,rakuten_ichiba,yahoo_itemsearch_v3,keepa_product,grain,why,a_keepa_usage,agent_pick,priority,effect_setcount,effect_price,effect_human,flow_A_Keepa,flow_B_Step2,flow_B_Step76,flow_CPO,flow_FBA,flow_除外フィルタ,flow_tags
JOIN,JAN/EAN,YES_JOIN,なし（keywordにJANを入れるだけ。ヒット行にJANフィールドは無い）,hits[].janCode,ean / eanList,Keepa=ASIN1行 / 楽天Yahoo=検索ヒット複数,楽天はレスポンスにJANが無い。YahooとKeepaは同一キーにできる。楽天は検索クエリのJANで紐づける,A前検索のキー。Keepa EANとYahoo janCodeが一致すれば同一SKU候補,◎使えそう,P0,高,中,高,Y,Y,Y,Y,N,N,"A_Keepa,B_Step2,B_Step76,CPO"
JOIN,ASIN,NO,なし,なし,asin,Keepaのみ,Amazon専用ID。楽天Yahooと列共用不可,Keepa行の主キー。楽天YahooはJAN経由でブロックに付ける,K Keepa専用,P0,中,中,中,Y,N,N,N,Y,N,"A_Keepa,FBA"
JOIN,親ASIN/バリエーション,NO,なし,なし（検索ヒットは出品単位。parentItemは稀）,parentAsin / variations / variationCSV,Keepaのみ,セット数誤りの主因（親に複数サイズ）。モール横断では使えない,ブロック内の複数ASINを親子で束ねる材料。楽天Yahooの袋数投票の対象粒度はJAN,○補助,P1,高,低,中,Y,N,N,N,N,N,A_Keepa
ID,モール商品コード,NO,itemCode（店舗_商品）,hits[].code / seller.sellerId,なし,モール別,店内SKU。列名は共用せず「楽天itemCode」「Yahoo code」と分ける,キャッシュの安定ID（再検索せずURL/画像を引く）,○補助,P1,低,低,低,Y,Y,N,N,N,N,"A_Keepa,B_Step2"
TEXT,商品名,PARTIAL_TEXT,itemName,hits[].name,title,全ソース1件1名,意味は同じ「出品タイトル」だが文言がモールで違う。1セルにマージせず source付きで並列,セット数正規表現の主入力。Keepaタイトルは袋数が弱いことが多い,◎使えそう,P0,高,中,高,Y,Y,N,Y,N,Y,"A_Keepa,B_Step2,CPO,除外フィルタ"
TEXT,キャッチ/説明短文,PARTIAL_TEXT,catchcopy / itemCaption（長い）,description / head,features[] / description,説明の長さが違う,同じ「説明」列に混ぜるとノイズ。セット数パースの補助に分ける,「50g×4」がタイトルに無く説明にある場合の補助。Keepa featuresは空が多い,○補助,P1,中,低,中,Y,Y,N,N,N,Y,"A_Keepa,B_Step2"
TEXT,メーカー,PARTIAL,shopNameではない（店名）,なし（店はseller）,manufacturer,Keepaが製品メーカー,楽天のshopNameは販売店。Keepa manufacturerとYahoo brandは近いが同一ではない,Keepa評点のメーカー一致。楽天店名で石原を落とすな,○補助,P1,低,低,中,Y,N,N,N,N,N,A_Keepa
TEXT,ブランド,PARTIAL,なし（ジャンル/タグ程度）,brand.id / brand.name,brand,ID体系が違う,名前の文字列一致は可。IDはYahooとKeepaで別世界,A評価・カテゴリ補助。Yahoo brand.idは出品SCと不一致あり,△後続,P2,低,低,低,N,N,Y,N,N,N,B_Step76
PRICE,表示価格,PARTIAL_PRICE,itemPrice,hits[].price,stats.current[0] Amazon本体 / [18] BuyBox / [1] 新品,定義が違う,いずれも「今の売価」だが税・送料込みかが違う。1列に合計できない。比較用に source+price を残す,単価=price/推定袋数 の分子。Keepaは送料込BuyBoxを優先,◎使えそう,P0,高,高,高,Y,Y,N,Y,N,N,"A_Keepa,B_Step2,CPO"
PRICE,プレミアム/会員価格,NO,なし,premiumPrice / priceLabel,なし,Yahooのみ,楽天ポイント倍と混同しない,実質比較の補助。通常priceと乖離が大きい店を除外,△後続,P2,低,中,低,N,Y,N,Y,N,N,"B_Step2,CPO"
PRICE,参考価格/定価,PARTIAL,なし,priceLabel.defaultPrice 等,csv[4] / stats 参考価格,KeepaはAmazon定価履歴,「定価」概念は近いがモール横断の最安には使わない,外れ値検出（表示が定価の10倍など）,△後続,P2,低,低,低,Y,N,N,N,N,Y,"A_Keepa,除外フィルタ"
