export_column,api_class,api_path,seen_in_this_asin,research_ok,note
画像,yes,imagesCSV / image,N,Y,トークンからURL組み立て
商品名,yes,title,Y,Y,
商品ハイライト,yes,features,Y,Y,配列。空のことが多い
売れ筋ランキング: 90 日平均,yes,stats.avg90[3],Y,Y,stats指定が必要
売れ筋ランキング: 365 日平均,yes,stats.avg365[3],Y,Y,stats=365
売れ筋ランキング: 90日間の下落 %,derive,avg90 と現在の比,Y,Y,CSVの既算値。APIは自分で割る
売れ筋ランキング: 過去30日間の減少,derive,csv[3] 履歴,Y,Y,履歴から差分。statsだけだと無し
売れ筋ランキング: 過去90日間の減少,derive,csv[3] 履歴,Y,Y,
売れ筋ランキング: 過去180日間の減少,derive,csv[3] 履歴,Y,Y,
売れ筋ランキング: 過去365日間の減少,derive,csv[3] 履歴,Y,Y,
月間売上トレンド: 先月の購入,yes,monthlySold,Y,Y,無いASINもある
レビュー: 評価,yes,csv[16] 直近 /10 または rating,Y,Y,43→4.3
レビュー: 評価件数,yes,csv[17] / reviewCount,Y,Y,
Buy Box: 30 日平均,yes,stats.avg30[18],Y,Y,BUY_BOX_SHIPPING
Buy Box: 90 日平均,yes,stats.avg90[18],Y,Y,
Buy Box: 90日間の下落 %,derive,stats平均の比,Y,Y,
Buy Box: Buy Box セラー,offers,offers[].sellerName (isBuyBox),Y,Y,offers=20 が必要。名前はCSV専用に近い
Buy Box: FBAです,offers,offers[].isFBA (isBuyBox),Y,Y,
Amazon: 現在価格,yes,stats.current[0] / csv[0],Y,Y,空＝本体なし
Amazon: 90 日平均,yes,stats.avg90[0],Y,Y,
Amazon: 365 日平均,yes,stats.avg365[0],Y,Y,
Amazon: 90日間の下落 %,derive,平均の比,Y,Y,
Amazon: 在庫,hard,amazonオファー stock,Y,optional,2品番CSVも空。APIも薄い
Amazon: 90日間在庫切れ,yes,stats.outOfStockPercentage90[0],Y,Y,100 と 100% の表記差
Amazon: 在庫切れカウント 30 日間,derive,csv[0] の -1 連続,Y,Y,既算値はCSV寄り
Amazon: 在庫切れカウント 90 日間,derive,csv[0] 履歴,Y,Y,門の「6ヶ月ほぼ不在」は履歴で可
新品: 90 日平均,yes,stats.avg90[1],Y,Y,円の整数
新品: 365 日平均,yes,stats.avg365[1],Y,Y,
新品: 90日間の下落 %,derive,平均の比,Y,Y,
新しい、第三者FBA: 90 日平均,yes,stats.avg90[10],Y,Y,NEW_FBA
新しい、第三者FBA: 365 日平均,yes,stats.avg365[10],Y,Y,
新しい、第三者FBA: 90日間の下落 %,derive,平均の比,Y,Y,
最安の FBA セラー,offers,offers isFBA 最安の sellerName,Y,Y,名前はoffers
新品 第三者 FBM: 90 日平均,yes,stats.avg90[7],Y,Y,NEW_FBM_SHIPPING 送料込
新品 第三者 FBM: 365 日平均,yes,stats.avg365[7],Y,Y,
新品 第三者 FBM: 90日間の下落 %,derive,平均の比,Y,Y,
最安の FBM セラー,offers,offers isFBA=false 最安,Y,Y,
参考価格: 90 日平均,yes,stats.avg90[4],Y,Y,
参考価格: 365 日平均,yes,stats.avg365[4],Y,Y,
参考価格: 90日間の下落 %,derive,平均の比,Y,Y,
新品アイテム数: 90 日平均,yes,stats.avg90[11],Y,Y,COUNT_NEW
新品アイテム数: 365 日平均,yes,stats.avg365[11],Y,Y,
